gdp_growth,year
"""2.29999999999959""","""1962"""
"""6.10000000000004""","""1963"""
"""4.40000000000001""","""1964"""
"""5.80000000000027""","""1965"""
"""6.39999999999968""","""1966"""
"""6.50000000000033""","""1967"""
"""2.49999999999997""","""1968"""
"""4.7999999999997""","""1969"""
"""3.10000000000004""","""1970"""
"""-0.254079592763361""","""1971"""
"""3.29336237989513""","""1972"""
"""5.2588953573494""","""1973"""
"""5.64571947000461""","""1974"""
"""-0.540546528852801""","""1975"""
"""-0.205464013975075""","""1976"""
"""5.38813922864261""","""1977"""
"""4.62415920523873""","""1978"""
"""5.53530269342748""","""1979"""
"""3.16615027139846""","""1980"""
"""-0.256751930206136""","""1981"""
"""2.53771869588535""","""1982"""
"""-1.80287445303816""","""1983"""
"""4.58392731645819""","""1984"""
"""7.2366199947577""","""1985"""
"""4.16965595327123""","""1986"""
"""3.46265171340774""","""1987"""
"""3.45957255522859""","""1988"""
"""4.17704638422782""","""1989"""
"""3.67265632875832""","""1990"""
"""1.88596032242019""","""1991"""
"""-0.108259105278819""","""1992"""
"""3.5224424944773""","""1993"""
"""2.75284432715792""","""1994"""
"""4.02883906403844""","""1995"""
"""2.68428713129616""","""1996"""
"""3.77250131913141""","""1997"""
"""4.44721634281531""","""1998"""
"""4.48140755494944""","""1999"""
"""4.75323598915602""","""2000"""
"""4.12748401255413""","""2001"""
"""0.998340795722612""","""2002"""
"""1.7416952495761""","""2003"""
"""2.86121076695474""","""2004"""
"""3.79889112654006""","""2005"""
"""3.51321379694016""","""2006"""
"""2.85497229206358""","""2007"""
"""1.87617145780585""","""2008"""
"""-0.136579805372577""","""2009"""
"""-2.53675706551407""","""2010"""
"""2.56376655847168""","""2011"""
"""1.55083550620974""","""2012"""
"""2.24954585216848""","""2013"""
"""1.8420810704697""","""2014"""
"""2.4519730360895""","""2015"""
"""2.88091046576689""","""2016"""
"""1.56721516988685""","""2017"""
"""2.21701033035224""","""2018"""
"""2.8569878160516""","""2019"""
